customerid,systemloanid,loanamount,totaldue,termdays,good_bad_flag,loan_to_due_ratio,interest_amount,implied_interest_rate,loan_size_category,term_category,latitude_gps,longitude_gps,emp_Contract,emp_Permanent,emp_Self-Employed,emp_Temporary,edu_HND/BSc,edu_Masters,edu_PhD,edu_Secondary,bank_encoded,location_encoded,hist_num_loans,hist_num_closed,hist_num_open,hist_avg_loan_amount,hist_max_loan_amount,hist_min_loan_amount,hist_total_borrowed,hist_avg_total_due,hist_ontime_rate,hist_late_rate,hist_never_paid_rate,hist_avg_days_late,hist_closure_rate,days_since_last_loan,hist_avg_term_days,hist_max_term_days,has_open_loans,hist_interest_burden,target
CUST_000001,LOAN_00000001,73564,98974,180,Bad,0.74326590821832,25410,0.34541351748137683,1,1,5.1757094340162375,9.564337757093371,True,False,False,False,True,False,False,False,1,9,5.0,4.0,1.0,45350.8,61315.0,24015.0,226754.0,59272.2,0.4,0.6,0.0,5.0,0.8,528.0,96.0,180.0,1.0,0.30697143159547347,1
CUST_000002,LOAN_00000002,28946,36276,30,Good,0.7979380306538758,7330,0.25323015269812754,0,0,7.3465310610977745,3.640081956062202,False,True,False,False,False,False,False,True,7,7,6.0,6.0,0.0,25909.0,37147.0,12143.0,155454.0,33532.5,1.0,0.0,0.0,0.0,1.0,533.0,75.0,180.0,0.0,0.29424138330309924,0
CUST_000003,LOAN_00000003,44231,55623,180,Good,0.7951926361397263,11392,0.2575569170943457,0,1,4.232550749980101,7.78319595262147,False,True,False,False,False,False,True,False,5,6,4.0,4.0,0.0,24031.25,53578.0,12844.0,96125.0,31528.75,0.75,0.25,0.0,1.0,1.0,533.0,127.5,180.0,0.0,0.3119895968790638,0
CUST_000004,LOAN_00000004,39029,49891,90,Good,0.7822853821330501,10862,0.2783058751185017,0,1,5.996015427401918,6.24880478906079,False,True,False,False,False,False,False,True,1,9,4.0,4.0,0.0,526152.25,1953959.0,23570.0,2104609.0,721284.75,0.75,0.25,0.0,1.0,1.0,533.0,90.0,180.0,0.0,0.3708669876447359,0
CUST_000005,LOAN_00000005,118950,153544,90,Bad,0.7746965039337258,34594,0.29082807902480035,1,1,11.024240245421394,14.992021473973384,False,False,True,False,False,False,True,False,2,1,1.0,1.0,0.0,17385.0,17385.0,17385.0,17385.0,22083.0,1.0,0.0,0.0,0.0,1.0,528.0,180.0,180.0,0.0,0.2702329594477999,1
CUST_000006,LOAN_00000006,43027,57640,60,Good,0.7464781401804302,14613,0.3396239570502242,0,0,5.810577090599916,6.700260847587723,False,True,False,False,True,False,False,False,6,5,4.0,4.0,0.0,20359.25,28221.0,14387.0,81437.0,25398.0,1.0,0.0,0.0,0.0,1.0,533.0,105.0,180.0,0.0,0.24749192627429784,0
CUST_000007,LOAN_00000007,89192,117192,60,Bad,0.7610758413543587,28000,0.31392950040362355,1,0,4.7205706227606905,13.613958417526362,False,False,True,False,False,False,False,True,5,7,5.0,2.0,3.0,23790.4,44307.0,5000.0,118952.0,30404.0,0.2,0.6,0.2,5.0,0.4,528.0,78.0,180.0,1.0,0.27799448517048897,1
CUST_000008,LOAN_00000008,298988,381156,60,Good,0.784424225251603,82168,0.2748203941295302,2,0,8.27007861860071,11.11480482048573,True,False,False,False,False,True,False,False,5,8,1.0,1.0,0.0,123772.0,123772.0,123772.0,123772.0,153049.0,1.0,0.0,0.0,0.0,1.0,533.0,30.0,30.0,0.0,0.236539766667744,0
CUST_000009,LOAN_00000009,164438,193733,180,Bad,0.8487867322552173,29295,0.1781522519125749,1,1,4.089723112610667,7.090996910305085,True,False,False,False,False,False,False,True,1,8,2.0,2.0,0.0,13357.5,20602.0,6113.0,26715.0,17613.5,0.5,0.5,0.0,5.0,1.0,528.0,45.0,60.0,0.0,0.31862249672468645,1
CUST_000010,LOAN_00000010,42134,49903,60,Good,0.8443179768751378,7769,0.18438790525466375,0,0,4.762895389836999,9.522412540489483,False,True,False,False,False,True,False,False,0,8,4.0,4.0,0.0,91442.25,192975.0,6863.0,365769.0,120302.75,1.0,0.0,0.0,0.0,1.0,533.0,75.0,180.0,0.0,0.3156144998619348,0
CUST_000011,LOAN_00000011,45381,59983,90,Good,0.7565643599019722,14602,0.32176461514730836,0,1,11.268632826066776,13.086430559390326,False,True,False,False,False,False,False,True,2,8,0.0,0.0,0.0,45305.8,74375.0,17911.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,533.0,90.0,180.0,0.0,0.0,0
CUST_000012,LOAN_00000012,86185,104905,180,Bad,0.8215528335160384,18720,0.21720717062133788,1,1,10.943260103736456,13.600419576370944,True,False,False,False,False,True,False,False,1,5,3.0,2.0,1.0,35822.0,74395.0,15036.0,107466.0,42436.333333333336,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.0,0.6666666666666666,528.0,100.0,180.0,1.0,0.18464444568514704,1
CUST_000013,LOAN_00000013,15757,19607,90,Good,0.8036415565869333,3850,0.24433585073300756,0,1,12.236249383644063,4.924726500073742,False,True,False,False,True,False,False,False,2,9,7.0,7.0,0.0,28805.0,66511.0,10482.0,201635.0,36463.42857142857,0.7142857142857143,0.2857142857142857,0.0,1.0,1.0,533.0,107.14285714285714,180.0,0.0,0.265871500483547,0
CUST_000014,LOAN_00000014,30041,38769,90,Good,0.7748716758234672,8728,0.29053626710162783,0,1,11.690638923196746,7.074877694498035,False,True,False,False,True,False,False,False,2,3,2.0,2.0,0.0,338533.0,631557.0,45509.0,677066.0,437546.5,0.5,0.5,0.0,5.0,1.0,533.0,180.0,180.0,0.0,0.29247813359406627,0
CUST_000015,LOAN_00000015,88816,104712,180,Good,0.8481931392772557,15896,0.17897676094397408,1,1,10.148580069158363,7.02267816256286,False,True,False,False,True,False,False,False,6,9,2.0,2.0,0.0,13393.5,19207.0,7580.0,26787.0,16598.0,1.0,0.0,0.0,0.0,1.0,533.0,45.0,60.0,0.0,0.2392578489565833,0
CUST_000016,LOAN_00000016,54206,68069,180,Bad,0.796339008946804,13863,0.25574659631775076,1,1,4.470995715705966,3.5045375529113363,False,False,True,False,False,False,False,True,5,4,5.0,3.0,2.0,71318.6,202837.0,10469.0,356593.0,98201.8,0.2,0.6,0.2,7.666666666666667,0.6,528.0,84.0,180.0,1.0,0.3769451447448491,1
CUST_000017,LOAN_00000017,281562,340284,30,Good,0.8274323800119899,58722,0.20855797302192758,2,0,11.045637561879918,10.178853118222758,True,False,False,False,False,True,False,False,7,6,1.0,1.0,0.0,12128.0,12128.0,12128.0,12128.0,16461.0,1.0,0.0,0.0,0.0,1.0,533.0,90.0,90.0,0.0,0.35727242744063314,0
CUST_000018,LOAN_00000018,36506,45677,365,Good,0.7992206143135495,9171,0.2512189777022955,0,2,11.609597297565044,13.257840635906255,True,False,False,False,False,False,False,True,6,0,3.0,3.0,0.0,30044.666666666668,75739.0,7001.0,90134.0,39303.333333333336,1.0,0.0,0.0,0.0,1.0,533.0,180.0,180.0,0.0,0.30816340115827545,0
CUST_000019,LOAN_00000019,25913,30335,180,Good,0.8542277896818856,4422,0.17064793732875394,0,1,11.19173931194759,7.578892653906213,True,False,False,False,True,False,False,False,6,3,2.0,2.0,0.0,35906.5,36114.0,35699.0,71813.0,47267.0,0.5,0.5,0.0,1.0,1.0,533.0,180.0,180.0,0.0,0.31639118265495103,0
CUST_000020,LOAN_00000020,29386,37330,365,Good,0.7871952852933297,7944,0.27033281154291156,0,2,8.576311317772234,11.880431339810125,False,False,True,False,True,False,False,False,2,3,1.0,1.0,0.0,22048.0,22048.0,22048.0,22048.0,27226.0,1.0,0.0,0.0,0.0,1.0,533.0,90.0,90.0,0.0,0.23485123367198835,0
CUST_000021,LOAN_00000021,60550,81486,60,Good,0.743072429619812,20936,0.34576383154417845,1,0,6.096116547845335,10.53240496320888,True,False,False,False,True,False,False,False,4,9,1.0,1.0,0.0,39382.0,39382.0,39382.0,39382.0,49364.0,1.0,0.0,0.0,0.0,1.0,533.0,30.0,30.0,0.0,0.25346605047991466,0
CUST_000022,LOAN_00000022,52645,67716,180,Good,0.777438123929352,15071,0.286275999620097,1,1,11.60796978119854,7.50778482591601,True,False,False,False,False,False,False,True,5,3,5.0,5.0,0.0,42860.2,76761.0,7970.0,214301.0,52696.6,0.6,0.4,0.0,3.0,1.0,533.0,42.0,90.0,0.0,0.22949962902646281,0
CUST_000023,LOAN_00000023,356570,435780,90,Bad,0.8182339712699068,79210,0.22214431948845959,2,1,10.544465287661248,4.692717593907565,False,False,False,True,False,False,False,True,0,2,2.0,2.0,0.0,11282.5,17565.0,5000.0,22565.0,14564.5,0.5,0.0,0.5,0.0,1.0,528.0,45.0,60.0,0.0,0.2908929758475516,1
CUST_000024,LOAN_00000024,43508,57145,365,Good,0.7613614489456645,13637,0.31343660935919826,0,2,12.826850569499664,11.511886233311609,False,False,True,False,False,False,False,True,6,2,3.0,3.0,0.0,62961.333333333336,93094.0,30137.0,188884.0,84221.33333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,533.0,70.0,90.0,0.0,0.3376675631604582,0
CUST_000025,LOAN_00000025,62539,82280,30,Good,0.7600753524550315,19741,0.3156590287660499,1,0,5.401233379803396,13.254782027294883,False,True,False,False,False,True,False,False,7,4,1.0,1.0,0.0,20883.0,20883.0,20883.0,20883.0,24366.0,0.0,1.0,0.0,1.0,1.0,533.0,30.0,30.0,0.0,0.16678638126705936,0
CUST_000026,LOAN_00000026,121460,148737,60,Good,0.8166091826512569,27277,0.2245759920961634,1,0,6.030981247468496,11.230253908817902,False,True,False,False,False,False,False,True,4,0,2.0,2.0,0.0,29851.5,37461.0,22242.0,59703.0,35630.5,0.5,0.5,0.0,5.0,1.0,533.0,120.0,180.0,0.0,0.19359161181180173,0
CUST_000027,LOAN_00000027,54919,73572,60,Good,0.7464660468656554,18653,0.3396456599719586,1,0,5.906183348933524,3.214541808417817,False,False,True,False,False,False,False,False,4,1,4.0,4.0,0.0,68092.25,77591.0,47977.0,272369.0,90329.0,0.75,0.25,0.0,1.0,1.0,533.0,112.5,180.0,0.0,0.32656800149796794,0
CUST_000028,LOAN_00000028,93384,114964,30,Bad,0.8122890644027696,21580,0.23108883748822073,1,0,11.13285790859203,5.594794732691895,False,False,True,False,False,False,False,True,0,5,1.0,1.0,0.0,110490.0,110490.0,110490.0,110490.0,127967.0,0.0,1.0,0.0,5.0,1.0,528.0,60.0,60.0,0.0,0.15817721060729473,1
CUST_000029,LOAN_00000029,82119,104479,90,Bad,0.7859857004756937,22360,0.2722877774936372,1,1,5.682165668051064,3.833759818602383,True,False,False,False,False,False,False,True,6,9,2.0,2.0,0.0,44731.5,63368.0,26095.0,89463.0,53003.5,0.5,0.0,0.5,0.0,1.0,528.0,75.0,90.0,0.0,0.18492561170539767,1
CUST_000030,LOAN_00000030,116980,149895,90,Bad,0.7804129557356816,32915,0.28137288425371865,1,1,4.599938468409755,9.84463319491472,True,False,False,False,True,False,False,False,7,5,5.0,2.0,3.0,51393.2,67473.0,18116.0,256966.0,68049.8,0.2,0.8,0.0,9.0,0.4,528.0,84.0,180.0,1.0,0.3241012429659955,1
CUST_000031,LOAN_00000031,19412,24600,60,Good,0.7891056910569105,5188,0.26725736657737476,0,0,12.987047259270655,12.077732146084948,True,False,False,False,False,False,False,True,5,1,0.0,0.0,0.0,45305.8,74375.0,17911.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,533.0,90.0,180.0,0.0,0.0,0
CUST_000032,LOAN_00000032,114265,139653,60,Good,0.8182065548180132,25388,0.22218527108038333,1,0,4.223354903006342,4.326950244823913,True,False,False,False,True,False,False,False,3,9,6.0,6.0,0.0,27753.166666666668,64862.0,5000.0,166519.0,35749.833333333336,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,533.0,110.0,180.0,0.0,0.2881352878650485,0
