feature,importance
days_since_last_loan,0.46837065
hist_num_open,0.14281286
hist_closure_rate,0.10689082
hist_num_closed,0.060912296
hist_ontime_rate,0.05258777
hist_num_loans,0.04708604
hist_late_rate,0.016928611
hist_never_paid_rate,0.013970937
hist_avg_days_late,0.01240258
totaldue,0.010315948
edu_Secondary,0.006896674
emp_Temporary,0.006609246
loanamount,0.006508556
emp_Permanent,0.0063333325
emp_Self-Employed,0.005955319
termdays,0.0042580394
interest_amount,0.0039714454
emp_Contract,0.003541146
edu_HND/BSc,0.0030527096
loan_to_due_ratio,0.00264158
term_category,0.0025448205
longitude_gps,0.0024127348
location_encoded,0.0023337838
hist_avg_loan_amount,0.0023111638
latitude_gps,0.002224917
implied_interest_rate,0.0020241402
bank_encoded,0.0019416953
edu_Masters,0.0016671406
loan_size_category,0.0002822517
hist_interest_burden,0.00021076946
edu_PhD,0.0
hist_avg_total_due,0.0
hist_max_loan_amount,0.0
hist_min_loan_amount,0.0
hist_total_borrowed,0.0
hist_avg_term_days,0.0
hist_max_term_days,0.0
has_open_loans,0.0
